objectid,identifier,filename,publication,location,date,month_str,month_int,day,year,format,notes,collection
SB_Tribune_January_27_1910_jpg,SB_Tribune_January_27_1910_jpg,SB_Tribune_January_27_1910.jpg,South Bend Tribune,"South Bend, Indiana, US",27/01/1910,January,01,27,1910,image/jpeg,,South Bend Tribune
SB_Tribune_January_28_1904_jpg,SB_Tribune_January_28_1904_jpg,SB_Tribune_January_28_1904.jpg,South Bend Tribune,"South Bend, Indiana, US",28/01/1904,January,01,28,1904,image/jpeg,,South Bend Tribune
SB_Tribune_July_16_1903_jpg,SB_Tribune_July_16_1903_jpg,SB_Tribune_July_16_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",16/07/1903,July,07,16,1903,image/jpeg,,South Bend Tribune
SB_Tribune_July_22_1909_jpg,SB_Tribune_July_22_1909_jpg,SB_Tribune_July_22_1909.jpg,South Bend Tribune,"South Bend, Indiana, US",22/07/1909,July,07,22,1909,image/jpeg,,South Bend Tribune
SB_Tribune_July_y_23_1903_(1)_jpg,SB_Tribune_July_y_23_1903_(1)_jpg,SB_Tribune_July_y_23_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",23/07/1903,July,07,23,1903,image/jpeg,,South Bend Tribune
SB_Tribune_June_22_1905_jpg,SB_Tribune_June_22_1905_jpg,SB_Tribune_June_22_1905.jpg,South Bend Tribune,"South Bend, Indiana, US",22/06/1905,June,06,22,1905,image/jpeg,,South Bend Tribune
SB_Tribune_June_30_1910_jpg,SB_Tribune_June_30_1910_jpg,SB_Tribune_June_30_1910.jpg,South Bend Tribune,"South Bend, Indiana, US",30/06/1910,June,06,30,1910,image/jpeg,,South Bend Tribune
SB_Tribune_March_19_1903_jpg,SB_Tribune_March_19_1903_jpg,SB_Tribune_March_19_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",19/03/1903,March,03,19,1903,image/jpeg,,South Bend Tribune
SB_Tribune_May_21_1903_jpg,SB_Tribune_May_21_1903_jpg,SB_Tribune_May_21_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",21/05/1903,May,05,21,1903,image/jpeg,,South Bend Tribune
SB_Tribune_October_29_1903_(1)_jpg,SB_Tribune_October_29_1903_(1)_jpg,SB_Tribune_October_29_1903_(1).jpg,South Bend Tribune,"South Bend, Indiana, US",29/10/1903,October,10,29,1903,image/jpeg,,South Bend Tribune
SB_Tribune_September_10_1903_jpg,SB_Tribune_September_10_1903_jpg,SB_Tribune_September_10_1903.jpg,South Bend Tribune,"South Bend, Indiana, US",10/09/1903,September,09,10,1903,image/jpeg,,South Bend Tribune
